Q9Y5Y6|DB00013|Urokinase
P47869|DB01708|Prasterone
P48169|DB01708|Prasterone
Q8NER1|DB01744|Camphor
O75762|DB01744|Camphor
Q7Z2W7|DB01744|Camphor
Q8N1C3|DB01956|Taurine
P47869|DB01956|Taurine
P48169|DB01956|Taurine
P23219|DB02266|Flufenamic acid
Q7Z4W1|DB02325|Isopropyl alcohol
O60942|DB02325|Isopropyl alcohol
P50440|DB02530|gamma-Aminobutyric acid
Q9BY41|DB02546|Vorinostat
P23141|DB02659|Cholic Acid
P23219|DB02709|Resveratrol
Q8TE23|DB02772|Sucrose
Q13621|DB02925|Piretanide
P27338|DB03147|Flavin adenine dinucleotide
Q15067|DB03147|Flavin adenine dinucleotide
P21397|DB03147|Flavin adenine dinucleotide
Q12882|DB03147|Flavin adenine dinucleotide
Q96RQ9|DB03147|Flavin adenine dinucleotide
P47989|DB03147|Flavin adenine dinucleotide
P26440|DB03147|Flavin adenine dinucleotide
P00390|DB03147|Flavin adenine dinucleotide
Q12882|DB03247|Flavin mononucleotide
P00390|DB03310|Glutathione disulfide
Q7Z2Z2|DB03619|Deoxycholic acid
P05089|DB03904|Urea
Q12791|DB04209|Dequalinium
O76074|DB04272|Citric acid
Q96RQ9|DB04272|Citric acid
Q9Y663|DB04272|Citric acid
P15121|DB04272|Citric acid
P15086|DB04272|Citric acid
P19835|DB04348|Taurocholic acid
P09848|DB04564|Gluconolactone
P23219|DB04817|Metamizole
P27338|DB04820|Nialamide
P21397|DB04820|Nialamide
P27338|DB04821|Nomifensine
P21397|DB04821|Nomifensine
P27338|DB04832|Zimelidine
P21397|DB04832|Zimelidine
P23141|DB04838|Cyclandelate
O95180|DB04841|Flunarizine
P47989|DB04854|Febuxostat
P32418|DB04855|Dronedarone
Q9UNX9|DB04855|Dronedarone
P63252|DB04855|Dronedarone
Q9UK17|DB04855|Dronedarone
P16066|DB04899|Nesiritide
O43526|DB04953|Ezogabine
Q9BY41|DB05015|Belinostat
P20648|DB05351|Dexlansoprazole
Q9UI33|DB05541|Brivaracetam
Q9Y5Y9|DB05541|Brivaracetam
Q9NY46|DB05541|Brivaracetam
Q8IWT1|DB05541|Brivaracetam
P49190|DB05829|Parathyroid hormone
P33527|DB06176|Romidepsin
P15144|DB06196|Icatibant
P41594|DB06201|Rufinamide
Q9UK17|DB06217|Vernakalant
Q9Y5Y9|DB06218|Lacosamide
Q9NY46|DB06218|Lacosamide
O76074|DB06237|Avanafil
O76074|DB06267|Udenafil
P36888|DB06595|Midostaurin
Q9BY41|DB06603|Panobinostat
Q16322|DB06637|Dalfampridine
Q9UK17|DB06637|Dalfampridine
P27338|DB06654|Safinamide
P15309|DB06688|Sipuleucel-T
P07477|DB06692|Aprotinin
P17538|DB06692|Aprotinin
Q8IZS8|DB06712|Nilvadipine
P22888|DB06719|Buserelin
P23219|DB06725|Lornoxicam
P23219|DB06736|Aceclofenac
P05089|DB06757|Manganese
Q9H4B7|DB06772|Cabazitaxel
Q8NER1|DB06774|Capsaicin
P31327|DB06775|Carglumic acid
P23280|DB06795|Mafenide
P23219|DB06802|Nepafenac
Q9Y233|DB08814|Triflusal
P23219|DB08814|Triflusal
Q14520|DB08818|Hyaluronic acid
P04035|DB08860|Pitavastatin
Q9H4B7|DB08871|Eribulin
P25092|DB08890|Linaclotide
O95838|DB08900|Teduglutide
P36888|DB08901|Ponatinib
P00797|DB09026|Aliskiren
O95180|DB09061|Cannabidiol
Q9HBA0|DB09061|Cannabidiol
Q8NER1|DB09061|Cannabidiol
P24752|DB09061|Cannabidiol
P04035|DB09061|Cannabidiol
P23219|DB09061|Cannabidiol
O75762|DB09061|Cannabidiol
Q7Z2W7|DB09061|Cannabidiol
P00390|DB09061|Cannabidiol
P36888|DB09079|Nintedanib
Q9UI33|DB09085|Tetracaine
Q9Y5Y9|DB09085|Tetracaine
Q9NY46|DB09085|Tetracaine
Q9UI33|DB09088|Amylocaine
Q9Y5Y9|DB09088|Amylocaine
Q9NY46|DB09088|Amylocaine
Q12791|DB09089|Trimebutine
O95180|DB09089|Trimebutine
Q13423|DB09092|Xanthinol
P00740|DB09109|Turoctocog alfa
P48448|DB09116|Calcium carbimide
Q8N1C3|DB09118|Stiripentol
P47869|DB09118|Stiripentol
P48169|DB09118|Stiripentol
Q8NER1|DB09120|Zucapsaicin
P22888|DB09126|Chorionic Gonadotropin (Human)
Q6MZM0|DB09130|Copper
O60701|DB09130|Copper
P17174|DB09130|Copper
P43652|DB09130|Copper
P08185|DB09130|Copper
P0C0L5|DB09130|Copper
P14550|DB09130|Copper
P00390|DB09130|Copper
P63244|DB09130|Copper
P23219|DB09212|Loxoprofen
P23219|DB09213|Dexibuprofen
P23219|DB09214|Dexketoprofen
P23219|DB09216|Tolfenamic acid
O95180|DB09238|Manidipine
Q12882|DB09257|Gimeracil
Q12882|DB09327|Tegafur-uracil
P00740|DB09332|Kappadione
Q9UI33|DB09342|Propoxycaine
Q9Y5Y9|DB09342|Propoxycaine
Q9NY46|DB09342|Propoxycaine
Q9UI33|DB09345|Pramocaine
Q9Y5Y9|DB09345|Pramocaine
Q9NY46|DB09345|Pramocaine
O43252|DB09462|Glycerin
P00325|DB09462|Glycerin
P17050|DB09462|Glycerin
O14717|DB09462|Glycerin
P14679|DB09526|Hydroquinone
P30084|DB09568|Omega-3-carboxylic acids
P23219|DB11071|Phenyl salicylate
P23219|DB11079|Trolamine salicylate
Q96L12|DB11093|Calcium Citrate
Q15493|DB11093|Calcium Citrate
Q8NER1|DB11131|Capsicum oleoresin
O95180|DB11148|Butamben
Q9UNX9|DB11148|Butamben
Q9HBA0|DB11148|Butamben
P48048|DB11148|Butamben
Q7Z3S7|DB11148|Butamben
Q8IZS8|DB11148|Butamben
Q15878|DB11148|Butamben
O75762|DB11148|Butamben
P78508|DB11148|Butamben
Q9UI33|DB11186|Pentoxyverine
Q9Y5Y9|DB11186|Pentoxyverine
Q9NY46|DB11186|Pentoxyverine
P23219|DB11201|Menthyl salicylate
P14679|DB11217|Arbutin
P14679|DB11254|Hexylresorcinol
Q8WXA8|DB11273|Dihydroergocornine
P23219|DB11323|Glycol salicylate
Q96L12|DB11348|Calcium Phosphate
Q15493|DB11348|Calcium Phosphate
Q9UK17|DB11633|Isavuconazole
O15440|DB11672|Curcumin
Q8N1C3|DB11859|Brexanolone
P47869|DB11859|Brexanolone
P48169|DB11859|Brexanolone
Q8N1C3|DB11901|Apalutamide
P47869|DB11901|Apalutamide
P48169|DB11901|Apalutamide
P36888|DB12010|Fostamatinib
Q8NI60|DB12010|Fostamatinib
Q9H3Y6|DB12010|Fostamatinib
Q86V86|DB12010|Fostamatinib
Q8IU85|DB12010|Fostamatinib
Q9P2K8|DB12010|Fostamatinib
O76074|DB12010|Fostamatinib
Q9UF33|DB12010|Fostamatinib
Q9UK32|DB12010|Fostamatinib
Q12866|DB12010|Fostamatinib
Q8N5S9|DB12010|Fostamatinib
P54760|DB12010|Fostamatinib
P54762|DB12010|Fostamatinib
O15146|DB12010|Fostamatinib
Q00532|DB12010|Fostamatinib
Q9NYL2|DB12010|Fostamatinib
Q92772|DB12010|Fostamatinib
P54756|DB12010|Fostamatinib
Q8IYT8|DB12010|Fostamatinib
Q8N568|DB12010|Fostamatinib
Q9UKE5|DB12010|Fostamatinib
Q9Y2H9|DB12010|Fostamatinib
Q13237|DB12010|Fostamatinib
P35590|DB12010|Fostamatinib
P33981|DB12010|Fostamatinib
O75747|DB12010|Fostamatinib
Q8NEV4|DB12010|Fostamatinib
Q8IWU9|DB12095|Telotristat ethyl
P36888|DB12141|Gilteritinib
Q8WXA8|DB12141|Gilteritinib
P36888|DB12267|Brigatinib
P36888|DB12500|Fedratinib
P00450|DB12965|Silver
P36888|DB12978|Pexidartinib
P00740|DB13150|Coagulation factor VII human
P00740|DB13192|Antihemophilic factor human
Q9UI33|DB13269|Dichlorobenzyl alcohol
Q9Y5Y9|DB13269|Dichlorobenzyl alcohol
Q9NY46|DB13269|Dichlorobenzyl alcohol
Q8IWT1|DB13269|Dichlorobenzyl alcohol
Q8WXA8|DB13345|Dihydroergocristine
P23219|DB13346|Bufexamac
P23219|DB13501|Bendazac
O95180|DB13746|Bioallethrin
O95180|DB13746|Bioallethrin
Q9UI33|DB13746|Bioallethrin
Q7Z3S7|DB13746|Bioallethrin
Q8IZS8|DB13746|Bioallethrin
Q15878|DB13746|Bioallethrin
Q9Y5Y9|DB13746|Bioallethrin
Q9NY46|DB13746|Bioallethrin
P23219|DB13783|Acemetacin
P47869|DB13872|Lormetazepam
P48735|DB13874|Enasidenib
P00740|DB13923|Emicizumab
Q16518|DB13932|Voretigene neparvovec
P43681|DB13952|Estradiol acetate
P43681|DB13953|Estradiol benzoate
P43681|DB13954|Estradiol cypionate
P43681|DB13955|Estradiol dienanthate
P43681|DB13956|Estradiol valerate
Q9UI33|DB13961|Fish oil
Q9Y5Y9|DB13961|Fish oil
Q9NY46|DB13961|Fish oil
Q8IWT1|DB13961|Fish oil
P00740|DB13998|Lonoctocog alfa
P00740|DB13999|Moroctocog alfa
P23743|DB14001|alpha-Tocopherol succinate
Q9UDX3|DB14001|alpha-Tocopherol succinate
Q9UDX4|DB14001|alpha-Tocopherol succinate
P23743|DB14002|D-alpha-Tocopherol acetate
Q9UDX3|DB14002|D-alpha-Tocopherol acetate
Q9UDX4|DB14002|D-alpha-Tocopherol acetate
Q96L12|DB14481|Calcium phosphate dihydrate
Q15493|DB14481|Calcium phosphate dihydrate
P49411|DB14487|Zinc acetate
Q06033|DB14487|Zinc acetate
P08185|DB14487|Zinc acetate
P0C0L5|DB14487|Zinc acetate
P45381|DB14487|Zinc acetate
Q9BY41|DB14487|Zinc acetate
O14556|DB14487|Zinc acetate
P01871|DB14487|Zinc acetate
P00450|DB14487|Zinc acetate
Q9BY41|DB14488|Ferrous gluconate
P00450|DB14488|Ferrous gluconate
Q9BY41|DB14489|Ferrous succinate
P00450|DB14489|Ferrous succinate
Q9BY41|DB14490|Ferrous ascorbate
P00450|DB14490|Ferrous ascorbate
Q9BY41|DB14491|Ferrous fumarate
P00450|DB14491|Ferrous fumarate
Q9BY41|DB14501|Ferrous glycine sulfate
P00450|DB14501|Ferrous glycine sulfate
P49411|DB14533|Zinc chloride
Q06033|DB14533|Zinc chloride
P08185|DB14533|Zinc chloride
P0C0L5|DB14533|Zinc chloride
P45381|DB14533|Zinc chloride
Q9BY41|DB14533|Zinc chloride
O14556|DB14533|Zinc chloride
P01871|DB14533|Zinc chloride
P00450|DB14533|Zinc chloride
P14060|DB14539|Hydrocortisone acetate
P14060|DB14540|Hydrocortisone butyrate
P14060|DB14541|Hydrocortisone cypionate
P14060|DB14542|Hydrocortisone phosphate
P14060|DB14543|Hydrocortisone probutate
P14060|DB14544|Hydrocortisone valerate
P00740|DB14738|Turoctocog alfa pegol
